Ind,Code,First_name,Last_name,Position,Shoots,Draft_year,Draft_round,Height,Weight,DOB,Age,Country,Place,Year,Team,Games,Goals,Assists,Points,PM,Pen,G_ev,G_pp,G_sh,Gwg,A_ev,A_pp,A_sh,S,SA,TOI,TOI_avg,FOW,FOL,HIT,BLK,TKY,GWY,PDO,OZS,DZS,OPS,DPS,Salary,Cap_hit,P/60,P1/60,GS/60,CF,CA,CF%,Rel CF%,GF,GA,xGF,xGA,xGF%,Rel xGF%,iPENT,iPEND,iSh%,ixGF,ixGF/60,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC,GP,G,A,P,P1,GS,C+/-,G+/-,GF%,xG+/-,iP+/-,iCF,iCF/60
965,comeabl01,Blake,Comeau,RW,R,2004,2.0469999999999997,185,202,1986-02-18,32.59483305,CA,Other,2015,PIT,61,16,15,31,6,65,16,0,0,5,14,1,0,147,269,844.9,15.17,7,2,188,11,16,19,101.0,55.4,44.6,2.6,1.4,700000.0,700000.0,2.06,1.7,2.41,858,749,53.39,1.67,37,30,33.91,33.3,50.45,-2.36,25,10,11.94,10.86,0.77,55.19,28.45,31.0,53.46,29.28,49.91,61.0,16,13,29,24,33.97,109,7,55.22,0.61,-15,240,17.04
966,comeabl01,Blake,Comeau,RW,R,2004,2.0469999999999997,185,202,1986-02-18,32.59483305,CA,Other,2016,COL,81,12,24,36,-9,58,8,2,2,3,18,6,0,142,251,1077.47,17.38,276,290,173,35,31,25,98.5,37.6,62.4,1.3,1.3,2400000.0,2400000.0,1.17,0.84,0.87,867,1014,46.09,2.68,31,36,31.41,37.9,45.32,1.82,18,14,5.41,7.47,0.42,37.09,27.52,30.8,43.88,29.23,50.31,81.0,6,15,21,15,15.63,-147,-5,46.27,-6.49,-4,199,11.08
967,comeabl01,Blake,Comeau,RW,R,2004,2.0469999999999997,185,202,1986-02-18,32.59483305,CA,Other,2017,COL,77,8,12,20,-19,58,5,2,1,1,12,0,0,103,197,931.3,14.59,114,132,129,22,35,18,96.1,45.6,54.4,-0.1,0.8,2400000.0,2400000.0,0.9,0.58,0.94,836,802,51.04,3.77,27,50,28.38,33.44,45.91,1.59,24,20,5.43,6.65,0.43,46.15,25.23,29.1,47.05,28.46,49.75,76.0,5,9,14,9,14.62,34,-23,35.06,-5.06,-4,177,11.4
968,comeabl01,Blake,Comeau,RW,R,2004,2.0469999999999997,185,202,1986-02-18,32.59483305,CA,Other,2018,COL,79,13,21,34,5,50,10,0,3,3,21,0,0,123,219,1019.92,15.52,104,167,145,38,47,29,101.5,32.3,67.7,1.4,1.7,2400000.0,2400000.0,1.53,1.24,1.32,924,1016,47.63,-0.35,35,34,32.31,37.97,45.97,-1.31,12,16,8.11,7.75,0.46,34.09,27.06,29.75,44.87,28.76,50.21,79.0,9,17,26,21,22.52,-92,1,50.72,-5.66,4,200,11.77
969,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2008,TOT,67,3,11,14,-7,100,3,0,0,0,10,0,1,97,211,890.85,18.13,0,0,144,95,23,28,97.1,50.6,49.4,0.4,1.3,1250000.0,1250000.0,0.81,0.61,1.33,880,765,53.5,1.7,40,46,37.76,33.78,52.78,4.6,31,17,2.63,3,0.2,51.19,32.37,28.79,50.95,29.42,49.09,61.0,2,10,12,9,19.7,115,-6,46.51,3.98,-14,177,11.92
970,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2008,CAR,41,3,9,12,2,74,3,0,0,0,8,0,1,67,149,890.85,19.16,0,0,93,62,15,17,98.3,49.5,50.5,0.7,1.5,1250000.0,1250000.0,0.81,0.61,1.33,880,765,53.5,1.7,40,46,37.76,33.78,52.78,4.6,31,17,2.63,3,0.2,51.19,32.37,28.79,50.95,29.42,49.09,61.0,2,10,12,9,19.7,115,-6,46.51,3.98,-14,177,11.92
971,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2008,OTT,26,0,2,2,-9,26,0,0,0,0,2,0,0,30,62,890.85,16.33,0,0,51,33,8,11,94.5,53.0,47.0,-0.3,-0.2,1250000.0,1250000.0,0.81,0.61,1.33,880,765,53.5,1.7,40,46,37.76,33.78,52.78,4.6,31,17,2.63,3,0.2,51.19,32.37,28.79,50.95,29.42,49.09,61.0,2,10,12,9,19.7,115,-6,46.51,3.98,-14,177,11.92
972,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2009,CBJ,81,5,19,24,11,100,5,0,0,0,17,2,0,103,230,1446.82,22.54,2,1,201,162,18,24,102.1,42.9,57.1,0.9,4.8,3750000.0,3750000.0,0.79,0.54,0.55,1129,1283,46.81,-8.42,58,58,45.75,51.07,47.25,-7.98,37,14,5.13,3.31,0.14,43.86,37.95,28.97,53.88,29.79,50.54,81.0,4,15,19,13,13.31,-154,,50,-5.32,-23,183,7.59
973,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2010,CBJ,57,2,9,11,-9,62,2,0,0,1,8,1,0,54,119,894.48,19.0,0,0,128,87,8,16,99.7,43.0,57.0,0.1,1.7,3750000.0,3750000.0,0.6,0.27,0.07,692,838,45.23,-3.65,29,44,26.56,35.12,43.06,-6.79,20,4,4.17,1.79,0.12,43.72,33.1,27.94,48.48,29.28,50.77,57.0,2,7,9,4,1,-146,-15,,-8.56,-16,108,7.24
974,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2011,CBJ,20,2,4,6,-8,44,2,0,0,2,1,2,1,32,71,283.48,18.34,0,1,38,25,5,7,94.1,52.1,47.9,0.4,0.1,3750000.0,3750000.0,0.63,0.42,0.49,276,269,50.64,1.99,5,14,9.37,11.89,44.07,-5.37,13,2,8.7,1.24,0.26,52.38,30.34,27.24,50.88,29.16,49.62,20.0,2,1,3,2,2.33,7,-9,26.32,-2.52,-11,53,11.22
975,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2012,TOT,30,0,2,2,7,38,0,0,0,0,2,0,0,23,54,349.85,12.36,0,0,53,32,4,7,104.2,43.4,56.6,-0.2,1.2,1141667.0,1141667.0,0.34,0.17,0.82,300,295,50.42,0.17,14,7,11.08,10.49,51.37,1.36,11,5,,0.76,0.13,43.37,23.9,26.33,50.72,27.9,49.42,30.0,,2,2,1,4.78,5,7,66.67,0.59,-6,54,9.26
976,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2012,DET,17,0,2,2,3,21,0,0,0,0,2,0,0,16,32,349.85,11.3,0,0,32,19,3,4,103.2,58.1,41.9,0.0,0.6,1141667.0,1141667.0,0.34,0.17,0.82,300,295,50.42,0.17,14,7,11.08,10.49,51.37,1.36,11,5,,0.76,0.13,43.37,23.9,26.33,50.72,27.9,49.42,30.0,,2,2,1,4.78,5,7,66.67,0.59,-6,54,9.26
977,commomi01,Mike,Commodore,D,R,1999,2.042,193,227,1979-11-07,38.87832966,CA,Other,2012,TBL,13,0,0,0,4,17,0,0,0,0,0,0,0,7,22,349.85,14.03,0,0,21,13,1,3,105.8,27.5,72.5,-0.2,0.6,1141667.0,1141667.0,0.34,0.17,0.82,300,295,50.42,0.17,14,7,11.08,10.49,51.37,1.36,11,5,,0.76,0.13,43.37,23.9,26.33,50.72,27.9,49.42,30.0,,2,2,1,4.78,5,7,66.67,0.59,-6,54,9.26
978,comrimi01,Mike,Comrie,C,L,1999,3.091,178,185,1980-09-11,38.03231649,CA,Other,2008,NYI,76,21,28,49,-21,87,17,4,0,3,11,17,0,194,302,1030.2,19.11,562,662,47,23,47,62,97.8,51.1,48.9,3.6,0.9,,,1.4,1.28,1.28,889,969,47.85,-4.37,38,44,38.23,42.84,47.16,-4.11,27,26,11.76,11.22,0.65,49.9,31.91,29.55,50.97,29.76,49.4,71.0,16,8,24,22,22.02,-80,-6,46.34,-4.61,-1,215,12.52
979,comrimi01,Mike,Comrie,C,L,1999,3.091,178,185,1980-09-11,38.03231649,CA,Other,2009,TOT,63,10,17,27,-15,32,8,2,0,1,12,4,1,121,189,784.32,15.42,171,246,39,34,34,37,98.1,51.9,48.1,1.0,0.6,4000000.0,4000000.0,1.3,0.84,0.5,643,837,43.45,-4.09,24,39,28.56,33.97,45.67,-1.19,11,11,6.59,7.73,0.59,49.88,26.93,29.98,47.21,29.02,49.53,63.0,6,11,17,11,6.54,-194,-15,38.1,-5.41,,144,11.02
980,comrimi01,Mike,Comrie,C,L,1999,3.091,178,185,1980-09-11,38.03231649,CA,Other,2009,NYI,41,7,13,20,-8,26,5,2,0,0,10,2,1,80,126,784.32,16.28,161,229,27,22,26,31,98.8,50.3,49.7,0.9,0.5,4000000.0,4000000.0,1.3,0.84,0.5,643,837,43.45,-4.09,24,39,28.56,33.97,45.67,-1.19,11,11,6.59,7.73,0.59,49.88,26.93,29.98,47.21,29.02,49.53,63.0,6,11,17,11,6.54,-194,-15,38.1,-5.41,,144,11.02
981,comrimi01,Mike,Comrie,C,L,1999,3.091,178,185,1980-09-11,38.03231649,CA,Other,2009,OTT,22,3,4,7,-7,6,3,0,0,1,2,2,0,41,63,784.32,14.17,10,17,12,12,8,6,96.5,56.1,43.9,0.2,0.1,4000000.0,4000000.0,1.3,0.84,0.5,643,837,43.45,-4.09,24,39,28.56,33.97,45.67,-1.19,11,11,6.59,7.73,0.59,49.88,26.93,29.98,47.21,29.02,49.53,63.0,6,11,17,11,6.54,-194,-15,38.1,-5.41,,144,11.02
982,comrimi01,Mike,Comrie,C,L,1999,3.091,178,185,1980-09-11,38.03231649,CA,Other,2010,EDM,43,13,8,21,-9,30,8,5,0,0,3,5,0,97,144,470.77,14.14,25,22,18,28,15,22,97.3,46.4,53.6,1.9,0.3,1250000.0,1250000.0,1.4,1.15,1.25,395,482,45.04,1.86,17,23,17.81,18.91,48.5,5.04,6,10,11.94,5.46,0.7,47.08,23.26,28.99,44.55,28.8,49.1,43.0,8,3,11,9,9.77,-87,-6,,-1.1,4,101,12.87
983,comrimi01,Mike,Comrie,C,L,1999,3.091,178,185,1980-09-11,38.03231649,CA,Other,2011,PIT,21,1,5,6,-4,18,1,0,0,0,3,2,0,25,39,190.65,11.49,15,25,10,5,2,3,95.3,58.2,41.8,0.1,0.1,500000.0,500000.0,0.94,0.63,1.21,181,164,52.46,0.55,4,10,7.04,6.29,52.81,2.45,3,5,,1.54,0.48,56.82,20.09,29.08,52.74,28.8,49.69,21.0,,3,3,2,3.86,17,-6,28.57,0.75,2,30,9.44
984,conboti01,Tim,Conboy,D,R,2002,7.2170000000000005,188,210,1982-03-22,36.50730232,US,Other,2008,CAR,19,0,5,5,1,60,0,0,0,0,5,0,0,16,26,115.4,6.58,0,0,25,4,3,2,97.7,62.5,37.5,0.4,0.3,,,2.6,1.56,2.94,123,96,56.16,2.25,8,6,5.76,4.6,55.6,2.11,14,10,,0.69,0.36,62.12,14.86,25.5,51.71,27.19,48.55,18.0,,5,5,3,5.65,27,2,57.14,1.16,-4,23,11.96
985,conboti01,Tim,Conboy,D,R,2002,7.2170000000000005,188,210,1982-03-22,36.50730232,US,Other,2009,CAR,28,0,1,1,-1,37,0,0,0,0,1,0,0,13,19,136.25,5.21,0,0,20,2,2,2,99.1,33.8,66.2,-0.3,0.1,,,,,-0.2,102,123,45.33,-6.13,4,7,5.04,4.34,53.73,4.18,11,12,,0.94,0.41,32.81,10.9,26.85,50.82,26.77,48.95,28.0,,,,,-0.45,-21,-3,36.36,0.7,1,18,7.93
986,conboti01,Tim,Conboy,D,R,2002,7.2170000000000005,188,210,1982-03-22,36.50730232,US,Other,2010,CAR,12,0,0,0,-5,24,0,0,0,0,0,0,0,5,9,45.73,4.18,0,0,9,2,2,0,78.3,60.0,40.0,-0.1,-0.3,,,,,-1.15,31,49,38.75,-18.07,,5,0.88,2.56,25.58,-30.34,5,7,,0.48,0.63,60,9.56,25.72,48.59,27.51,46.85,11.0,,,,,-0.88,-18,-5,,-1.68,2,9,11.81
987,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2008,DAL,22,3,2,5,0,6,3,0,0,0,2,0,0,27,38,240.88,12.0,1,0,17,7,5,5,101.3,54.5,45.5,0.1,0.3,470000.0,470000.0,1.25,1,1.07,184,203,47.55,-5.92,8,8,7.54,8.04,48.4,-2.56,2,,12.5,2.17,0.54,54.55,23.41,30.32,50.79,29.45,49.98,22.0,3,2,5,4,4.31,-19,,50,-0.5,-2,35,8.72
988,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2009,DAL,38,3,10,13,-5,10,3,0,0,1,9,1,0,34,67,398.85,10.56,0,1,37,5,12,8,98.2,55.0,45.0,0.5,0.2,500000.0,500000.0,1.81,1.2,1.55,340,332,50.6,1.84,17,22,13.97,14.29,49.43,1.72,3,4,8.82,3.24,0.49,55.08,23.15,29.04,49.67,28.75,50.24,38.0,3,9,12,8,10.29,8,-5,43.59,-0.32,1,66,9.93
989,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2010,PIT,8,2,1,3,-1,0,2,0,0,1,1,0,0,11,20,75.65,9.36,0,1,6,4,2,0,96.1,60.0,40.0,0.3,0.0,500000.0,500000.0,2.38,2.38,2.59,75,76,49.67,-0.9,3,3,2.27,2.86,44.25,0.07,,1,18.18,0.72,0.57,60,19.99,28.92,51.68,28.58,49.65,8.0,2,1,3,3,3.27,-1,,,-0.59,1,20,15.86
990,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2011,PIT,60,7,9,16,5,10,7,0,0,3,9,0,0,91,158,671.23,11.49,1,3,50,20,15,7,100.4,56.4,43.6,0.5,1.0,550000.0,550000.0,1.43,0.98,2.22,652,556,53.97,1.91,25,18,23.96,20.71,53.64,2.76,6,9,7.87,7.39,0.66,56.53,23.24,29.44,53.15,28.56,49.86,60.0,7,9,16,11,24.82,96,7,58.14,3.25,3,154,13.77
991,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2012,DET,8,1,2,3,2,0,1,0,0,0,2,0,0,10,17,72.23,10.34,0,0,4,3,4,0,105.3,48.0,52.0,0.2,0.2,550000.0,550000.0,2.49,2.49,2.43,65,72,47.45,-10.35,3,1,2.42,2.71,47.17,-9.18,,,11.11,0.66,0.55,48,19.3,28.21,54.77,27.55,50.03,8.0,1,2,3,3,2.92,-7,2,75,-0.29,,16,13.29
992,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2013,PHX,12,1,1,2,3,2,1,0,0,0,1,0,0,15,25,132.28,11.23,0,2,15,5,7,0,104.7,54.5,45.5,-0.1,0.3,650000.0,650000.0,0.91,0.91,1.32,129,143,47.43,-4.57,6,3,6.26,5.93,51.35,3.7,,3,6.67,1.88,0.85,54.02,22.61,29.91,50.7,28.46,49.91,12.0,1,1,2,2,2.9,-14,3,66.67,0.33,3,25,11.34
993,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2014,PIT,19,4,1,5,-3,2,4,0,0,0,1,0,0,17,31,216.05,11.46,0,1,21,10,4,3,100.0,45.3,54.7,0.4,0.1,550000.0,550000.0,1.39,1.11,-0.02,139,239,36.77,-13.57,7,10,5.06,7.5,40.29,-13.36,1,2,23.53,1.8,0.5,45.3,23.27,27.78,48.54,28.49,49.92,19.0,4,1,5,4,-0.08,-100,-3,41.18,-2.44,1,30,8.33
994,connech01,Chris,Conner,RW,L,2002,7.2170000000000005,173,190,1983-12-23,34.75230396,US,Other,2015,WSH,2,0,0,0,1,4,0,0,0,0,0,0,0,3,7,17.63,8.49,0,0,0,0,1,0,109.1,75.0,25.0,0.0,0.1,550000.0,550000.0,,,1.94,25,15,62.5,6.4,1,,0.77,0.35,68.75,13.37,2,,,0.27,0.92,75,17.57,28.19,50.74,27.36,42.44,2.0,,,,,0.57,10,1,100,0.42,-2,7,23.82
995,connoti01,Tim,Connolly,C,R,1999,1.005,185,190,1981-05-07,37.38069475,US,Other,2008,BUF,48,7,33,40,4,8,3,3,1,3,20,12,1,111,182,563.5,18.41,217,237,18,36,16,33,99.8,54.1,45.9,2.4,1.0,2900000.0,2900000.0,2.24,1.38,2.33,499,501,49.9,1.05,28,21,20.52,21.78,48.51,-0.49,2,8,4.48,4.26,0.45,53.44,26.74,31.31,49.95,29.8,49.88,46.0,3,18,21,13,21.91,-2,7,57.14,-1.26,6,104,11.07
996,connoti01,Tim,Connolly,C,R,1999,1.005,185,190,1981-05-07,37.38069475,US,Other,2009,BUF,48,18,29,47,12,22,12,5,1,5,16,13,0,126,214,607.65,19.07,229,315,17,37,29,38,104.4,47.9,52.1,4.2,1.5,2900000.0,2900000.0,2.67,2.17,2.54,572,595,49.01,-0.74,38,24,26.49,24.7,51.75,0.13,7,5,14.46,6.87,0.68,46.74,27.04,30.37,48.95,29.76,50.19,48.0,12,15,27,22,25.75,-23,14,61.29,1.79,-2,135,13.33
997,connoti01,Tim,Connolly,C,R,1999,1.005,185,190,1981-05-07,37.38069475,US,Other,2010,BUF,73,17,48,65,10,28,9,7,1,5,27,20,1,206,333,938.67,18.37,349,398,23,46,22,48,101.1,56.8,43.2,4.8,2.0,4500000.0,4500000.0,2.24,1.47,2.32,920,929,49.76,-0.74,49,35,40.04,39.94,50.06,-0.7,7,12,6.38,10.36,0.66,56.32,26.86,30.19,50.69,29.78,50.24,73.0,9,26,35,23,36.31,-9,14,,0.1,5,219,14
998,connoti01,Tim,Connolly,C,R,1999,1.005,185,190,1981-05-07,37.38069475,US,Other,2011,BUF,68,13,29,42,-10,20,7,6,0,3,16,13,0,151,273,826.27,16.55,445,524,24,53,22,34,98.2,55.5,44.5,2.7,0.8,4500000.0,4500000.0,1.52,1.09,2.1,835,729,53.39,4.02,33,37,32.91,30.02,52.3,1.2,9,9,6.36,7.92,0.58,54.56,24.73,29.92,49.82,29.46,49.96,68.0,7,14,21,15,28.95,106,-4,47.14,2.89,,202,14.67
999,connoti01,Tim,Connolly,C,R,1999,1.005,185,190,1981-05-07,37.38069475,US,Other,2012,TOR,70,13,23,36,-14,40,11,2,0,3,20,3,0,104,202,917.4,17.0,383,403,29,76,32,41,98.8,50.1,49.9,2.1,0.6,4750000.0,4750000.0,1.83,1.44,1.43,828,896,48.03,-1.28,36,43,31.14,36.67,45.92,-2.67,15,14,13.7,7.16,0.47,49.15,26.0,29.8,49.02,29.45,49.88,70.0,10,18,28,22,21.79,-68,-7,45.57,-5.53,-1,150,9.81
1000,conrocr01,Craig,Conroy,C,R,1990,6.122999999999999,188,193,1971-09-04,47.05372024,US,Other,2008,CGY,79,12,22,34,6,71,11,1,0,4,19,3,0,116,195,979.03,17.09,726,685,98,55,53,55,102.5,50.5,49.5,1.2,1.6,1795500.0,1795500.0,1.59,1.04,1.78,830,761,52.17,-0.87,42,34,36.58,33.35,52.31,-1.06,22,16,11.9,7.45,0.46,51.38,27.43,31.82,53.44,29.76,49.77,79.0,10,16,26,17,28.97,69,8,55.26,3.23,-6,145,8.89
1001,conrocr01,Craig,Conroy,C,R,1990,6.122999999999999,188,193,1971-09-04,47.05372024,US,Other,2009,CGY,82,12,36,48,20,28,11,0,1,1,35,0,1,104,161,974.18,15.22,722,645,42,49,59,41,102.0,50.9,49.1,2.6,2.1,1050000.0,1050000.0,2.4,1.85,3.22,1027,756,57.6,2.41,53,40,41.51,33.57,55.29,2.32,11,19,9.57,9.24,0.57,52.08,26.48,30.61,55.31,29.45,49.5,81.0,9,30,39,30,52.2,271,13,56.99,7.94,8,148,9.12
1002,conrocr01,Craig,Conroy,C,R,1990,6.122999999999999,188,193,1971-09-04,47.05372024,US,Other,2010,CGY,63,3,12,15,-6,25,3,0,0,1,12,0,0,52,100,681.57,13.34,453,426,43,41,26,32,97.0,47.9,52.1,-0.5,0.8,1050000.0,1050000.0,1.14,0.97,1.32,633,595,51.55,1.47,17,26,23.26,23.58,49.66,1.13,9,10,6.12,4.26,0.38,48.75,22.83,29.82,51.59,29.17,50.08,63.0,3,10,13,11,15.04,38,-9,,-0.32,1,95,8.36
1003,conrocr01,Craig,Conroy,C,R,1990,6.122999999999999,188,193,1971-09-04,47.05372024,US,Other,2011,CGY,18,2,0,2,-1,8,2,0,0,1,0,0,0,11,20,124.0,9.18,101,88,21,10,4,10,98.3,50.6,49.4,0.0,0.1,500000.0,500000.0,0.97,0.97,1.5,117,99,54.17,3.74,3,3,4.73,3.95,54.49,3.01,4,1,18.18,0.9,0.44,51.14,15.2,27.29,51.23,27.4,49.16,18.0,2,,2,2,3.1,18,,50,0.78,-3,20,9.68
1004,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2008,TOT,78,10,13,23,1,91,9,0,1,1,11,2,0,86,179,852.68,13.1,12,16,198,38,26,23,101.1,46.9,53.1,0.7,1.2,1508333.0,1508333.0,1.13,0.7,1.23,699,693,50.22,0.71,24,27,26.94,28.81,48.32,-3.73,17,20,9.86,8.07,0.57,46.99,24.45,29.2,48.35,28.99,50.05,78.0,7,9,16,10,17.43,6,-3,47.06,-1.87,3,157,11.05
1005,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2008,VAN,61,7,9,16,-4,64,7,0,0,1,8,1,0,68,140,852.68,13.24,11,15,154,29,19,17,100.3,44.4,55.6,0.2,0.8,1508333.0,1508333.0,1.13,0.7,1.23,699,693,50.22,0.71,24,27,26.94,28.81,48.32,-3.73,17,20,9.86,8.07,0.57,46.99,24.45,29.2,48.35,28.99,50.05,78.0,7,9,16,10,17.43,6,-3,47.06,-1.87,3,157,11.05
1006,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2008,WSH,17,3,4,7,5,27,2,0,1,0,3,1,0,18,39,852.68,12.19,1,1,44,9,7,6,104.5,54.8,45.2,0.5,0.4,1508333.0,1508333.0,1.13,0.7,1.23,699,693,50.22,0.71,24,27,26.94,28.81,48.32,-3.73,17,20,9.86,8.07,0.57,46.99,24.45,29.2,48.35,28.99,50.05,78.0,7,9,16,10,17.43,6,-3,47.06,-1.87,3,157,11.05
1007,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2009,PIT,76,13,18,31,0,101,13,0,0,1,17,1,0,86,161,902.43,14.13,7,12,262,37,20,14,101.2,43.6,56.4,1.5,1.0,1200000.0,1200000.0,1.99,1.66,1.51,758,818,48.1,-0.37,39,41,28.27,32.99,46.15,-4.8,36,27,16.67,7.96,0.53,44.67,25.97,30.13,47.82,28.85,49.64,76.0,13,17,30,25,22.74,-60,-2,48.75,-4.72,-9,147,9.77
1008,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2010,PIT,79,15,15,30,17,106,13,2,0,1,13,1,1,105,192,870.2,14.47,13,11,180,53,28,28,102.6,46.2,53.8,1.5,1.9,1200000.0,1200000.0,1.65,1.31,2.07,865,762,53.17,1.18,45,29,34.28,29.81,53.49,1.01,36,26,14.81,8.81,0.61,46.29,23.72,29.98,52.26,29.0,49.85,78.0,12,12,24,19,30.02,103,16,,4.47,-10,158,10.89
1009,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2011,PIT,67,12,18,30,14,129,9,0,3,2,15,0,3,95,166,794.37,15.38,8,21,192,39,23,19,101.9,49.6,50.4,1.6,1.8,1800000.0,1800000.0,1.44,0.83,1.55,751,686,52.26,-1.26,33,26,29.75,27.13,52.3,-0.16,36,18,8.22,6.72,0.51,50.45,25.32,30.29,53.75,29.38,49.85,67.0,6,13,19,11,20.48,65,7,55.93,2.62,-18,137,10.35
1010,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2012,PIT,82,19,19,38,5,44,16,1,2,4,12,5,2,147,240,968.88,15.41,18,15,160,41,37,23,99.2,47.5,52.5,2.8,1.4,1800000.0,1800000.0,1.67,1.18,2.08,885,796,52.65,-2.19,40,42,36.06,33.15,52.1,-2.19,15,19,13.56,11.06,0.68,47.5,24.12,29.5,53.89,29.12,49.82,82.0,16,11,27,19,33.53,89,-2,48.78,2.91,4,191,11.83
1011,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2013,PIT,48,8,13,21,-2,36,8,0,0,1,13,0,0,61,103,586.23,14.43,3,11,97,41,11,13,101.2,41.0,59.0,1.2,0.5,1800000.0,1800000.0,2.05,1.54,1.24,476,604,44.07,-6.68,22,24,18.83,21.3,46.92,-6.89,13,9,11.86,5.84,0.6,41.5,25.22,29.73,48.43,29.22,50.26,48.0,7,13,20,15,12.12,-128,-2,47.83,-2.47,-4,99,10.13
1012,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2014,MIN,82,10,18,28,8,54,9,0,1,3,15,2,1,104,183,1037.22,15.24,10,16,190,61,34,25,103.2,33.5,66.5,0.6,1.9,2500000.0,2500000.0,1.33,1.04,1.03,756,922,45.05,-4.52,32,27,26.46,32.71,44.72,-6.93,15,16,9.38,7.44,0.43,33.89,25.69,30.0,47.95,29.07,50.22,82.0,9,14,23,18,17.89,-166,5,54.24,-6.25,1,169,9.78
1013,cookema01,Matt,Cooke,C,L,1997,6.144,180,205,1978-09-07,40.04467836,CA,Other,2015,MIN,29,4,6,10,0,13,4,0,0,0,6,0,0,24,48,294.47,12.36,3,6,39,22,11,7,100.5,41.2,58.8,0.6,0.4,2500000.0,2500000.0,1.83,1.22,1.09,217,288,42.97,-9.84,10,12,8.16,10.12,44.64,-12.68,3,8,17.39,2.38,0.48,42.25,21.25,28.32,49.99,28.22,49.55,29.0,4,5,9,6,5.34,-71,-2,45.45,-1.96,5,44,8.97
1014,corvojo01,Joe,Corvo,D,R,1997,4.083,183,204,1977-06-20,41.26030917,US,Other,2008,TOT,74,13,35,48,17,26,7,6,0,3,13,22,0,167,343,960.63,18.39,0,0,31,41,24,33,101.9,58.5,41.5,5.1,3.4,2625000.0,2625000.0,1.12,0.75,2.09,978,790,55.32,4.98,54,35,42.26,37.54,52.96,0.53,10,11,6.8,4.98,0.31,56.58,30.79,28.09,51.11,28.77,49.62,70.0,7,11,18,12,33.42,188,19,60.67,4.72,1,205,12.8
1015,corvojo01,Joe,Corvo,D,R,1997,4.083,183,204,1977-06-20,41.26030917,US,Other,2008,OTT,51,6,21,27,13,18,5,1,0,1,13,8,0,111,237,960.63,17.41,0,0,25,24,16,27,101.7,60.3,39.7,2.6,2.3,2625000.0,2625000.0,1.12,0.75,2.09,978,790,55.32,4.98,54,35,42.26,37.54,52.96,0.53,10,11,6.8,4.98,0.31,56.58,30.79,28.09,51.11,28.77,49.62,70.0,7,11,18,12,33.42,188,19,60.67,4.72,1,205,12.8
1016,corvojo01,Joe,Corvo,D,R,1997,4.083,183,204,1977-06-20,41.26030917,US,Other,2008,CAR,23,7,14,21,4,8,2,5,0,2,0,14,0,56,106,960.63,20.46,0,0,6,17,8,6,102.1,54.9,45.1,2.5,1.2,2625000.0,2625000.0,1.12,0.75,2.09,978,790,55.32,4.98,54,35,42.26,37.54,52.96,0.53,10,11,6.8,4.98,0.31,56.58,30.79,28.09,51.11,28.77,49.62,70.0,7,11,18,12,33.42,188,19,60.67,4.72,1,205,12.8
